Make,Transmission,Engine Type,Engine Capacity(CC),Mileage(kms),Year,Price,Model
Nissan,Automatic,Petrol,660.0,91000,2017,1900000,Clipper 
Toyota,Manual,Petrol,1300.0,95000,2018,3025000,Corolla 
Daihatsu,Automatic,Petrol,660.0,101500,2012,1550000,Mira 
Toyota,Automatic,Hybrid,1500.0,73000,2017,3500000,Aqua 
Hyundai,Manual,Petrol,1000.0,300000,2004,680000,Santro 
Toyota,Automatic,Petrol,2700.0,39000,2017,20700000,Prado 
Toyota,Automatic,Hybrid,1500.0,51500,2018,3250000,Aqua 
Toyota,Automatic,Petrol,2700.0,121000,2017,7700000,Fortuner 
Suzuki,Manual,Petrol,1300.0,37000,2017,1785000,Swift 
Honda,Automatic,Hybrid,1500.0,34000,2017,4595000,Vezel 
Toyota,Automatic,Petrol,1000.0,76000,2018,2675000,Vitz 
Toyota,Manual,Diesel,2000.0,100000,1986,900000,Lite Ace
Toyota,Manual,Diesel,1300.0,190880,2002,1000000,Corolla 
Toyota,Manual,Diesel,2800.0,100000,1996,2000000,Hiace 
Toyota,Manual,Petrol,1300.0,120000,2014,2150000,Corolla 
Honda,Automatic,Petrol,1800.0,150000,2012,2100000,Civic 
Toyota,Automatic,Petrol,3400.0,70000,1999,4100000,Surf 
Mercedes,Automatic,Petrol,1800.0,235000,2004,3000000,Benz E
Honda,Automatic,Petrol,1800.0,130000,2012,2125000,Civic 
BMW,Automatic,Petrol,4400.0,60000,2006,5200000,X5 Series
Suzuki,Manual,Petrol,660.0,13500,2021,1550000,Alto 
Toyota,Automatic,Petrol,1300.0,95000,2016,2670000,Corolla 
Suzuki,Manual,Petrol,1000.0,50000,2007,785000,Cultus 
Daihatsu,Automatic,Petrol,660.0,75000,2017,2000000,Mira 
Toyota,Automatic,Petrol,1000.0,23000,2018,2350000,Roomy 
Toyota,Manual,Petrol,1300.0,139000,2011,1875000,Corolla 
Toyota,Manual,Petrol,1300.0,200000,1996,819999,Corolla Indus
Toyota,Automatic,Petrol,2400.0,110000,2010,3725000,Rav4 
Suzuki,Manual,Petrol,1000.0,150000,2007,625000,Alto 
Suzuki,Automatic,Petrol,660.0,80270,2015,1660000,Wagon R
Honda,Automatic,Petrol,1800.0,88000,2012,2550000,Civic 
Honda,Manual,Petrol,1300.0,45000,2017,2350000,City 
Honda,Manual,Petrol,1500.0,37399,2018,2775000,BR-V 
Toyota,Manual,Petrol,1600.0,123456,2003,1400000,Corolla 
Audi,Automatic,Petrol,1400.0,23000,2018,12200000,A5 
Toyota,Manual,Diesel,3000.0,161000,2007,2300000,Hiace 
Suzuki,Manual,Petrol,1000.0,151000,2010,915000,Alto 
Toyota,Manual,Diesel,3000.0,265000,2007,5500000,Prado 120
Toyota,Automatic,Hybrid,1500.0,55000,2017,3050000,Vitz 
Suzuki,Manual,Petrol,1000.0,32502,2018,1675000,Wagon R
Toyota,Automatic,Petrol,2700.0,65000,2018,8190000,Fortuner 
Toyota,Manual,Petrol,1300.0,58000,2011,1700000,Corolla 
Toyota,Automatic,Petrol,1800.0,23800,2020,4150000,Corolla 
Suzuki,Manual,Petrol,1300.0,143650,2011,1350000,Swift 
Suzuki,Manual,Petrol,800.0,25000,2017,780000,Mehran 
